Time(hrs),SiO2(aq),Mg++,Gluconic acid(aq),CO2(aq),Na+,pH
1e-10,0.0105000004987232,0.0320000015199184,0.0970000046078603,7.43156689411463e-06,1.00000005066852e-33,2.1499928288616
2e-10,0.0105000004987232,0.0320000015199185,0.0970000046072528,7.43156689411785e-06,1.00000005066852e-33,2.14999283174041
3e-10,0.0105000004987232,0.0320000015199185,0.0970000046010831,7.4315668941169e-06,1.00000005066852e-33,2.1499928317568
4e-10,0.0105000004987232,0.0320000015199185,0.0970000046072177,7.43156689412117e-06,1.00000005066852e-33,2.14999283175689
5e-10,0.0105000004987232,0.0320000015199185,0.0970000046072526,7.4315668941245e-06,1.00000005066852e-33,2.14999283175689
7e-10,0.0105000004987232,0.0320000015199185,0.0970000046072528,7.43156689412783e-06,1.00000005066852e-33,2.14999283175689
1.1e-09,0.0105000004987232,0.0320000015199185,0.0970000046072528,7.43156689413447e-06,1.00000005066852e-33,2.1499928317569
1.9e-09,0.0105000004987232,0.0320000015199185,0.0970000046072528,7.43156689414775e-06,1.00000005066852e-33,2.1499928317569
3.5e-09,0.0105000004987232,0.0320000015199185,0.0970000046072528,7.43156689417432e-06,1.00000005066852e-33,2.1499928317569
6.7e-09,0.0105000004987232,0.0320000015199186,0.0970000046072528,7.43156689422746e-06,1.00000005066852e-33,2.14999283175691
1.31e-08,0.0105000004987232,0.0320000015199186,0.0970000046072528,7.43156689433373e-06,1.00000005066852e-33,2.14999283175692
2.59e-08,0.0105000004987232,0.0320000015199189,0.0970000046072528,7.43156689454628e-06,1.00000005066852e-33,2.14999283175695
5.15e-08,0.0105000004987232,0.0320000015199193,0.0970000046072528,7.43156689497137e-06,1.00000005066852e-33,2.14999283175701
1.027e-07,0.0105000004987232,0.0320000015199201,0.0970000046072528,7.43156689582154e-06,1.00000005066852e-33,2.14999283175714
2.051e-07,0.0105000004987232,0.0320000015199218,0.0970000046072528,7.43156689752191e-06,1.00000005066852e-33,2.14999283175738
4.099e-07,0.0105000004987232,0.0320000015199252,0.0970000046072529,7.43156690092264e-06,1.00000005066852e-33,2.14999283175787
8.195e-07,0.0105000004987232,0.0320000015199321,0.0970000046072529,7.43156690772408e-06,1.00000005066852e-33,2.14999283175884
1.6387e-06,0.0105000004987232,0.0320000015199457,0.097000004607253,7.43156692132695e-06,1.00000005066852e-33,2.14999283176078
3.2771e-06,0.0105000004987232,0.0320000015199729,0.0970000046072532,7.43156694853257e-06,1.00000005066852e-33,2.14999283176467
6.5539e-06,0.0105000004987232,0.0320000015200273,0.0970000046072536,7.43156700294342e-06,1.00000005066852e-33,2.14999283177245
1.31075e-05,0.0105000004987232,0.0320000015201361,0.0970000046072543,7.43156711176347e-06,1.00000005066852e-33,2.14999283178801
2.62147e-05,0.0105000004987232,0.0320000015203537,0.0970000046072558,7.43156732939703e-06,1.00000005066852e-33,2.14999283181912
5.24291e-05,0.0105000004987232,0.032000001520789,0.0970000046072588,7.43156776463791e-06,1.00000005066852e-33,2.14999283188133
0.000104858,0.0105000004987232,0.0320000015216593,0.0970000046072648,7.43156863501478e-06,1.00000005066852e-33,2.14999283200572
0.000209716,0.0105000004987232,0.0320000015268787,0.0970000046072528,7.43157385434042e-06,1.00000005066852e-33,2.14999283225438
