Time(hrs),SiO2(aq),Mg++,Gluconic acid(aq),CO2(aq),Na+,pH
1e-10,0.0105000004987232,0.0320000015199202,0.0970000046072527,4.1149177688689e-06,1.00000005066852e-33,2.15003201933918
2e-10,0.0105000004987232,0.032000001519922,0.0970000046073318,4.11491777066046e-06,1.00000005066852e-33,2.1500315949146
3e-10,0.0105000004987232,0.0320000015199238,0.0970000046072528,4.11491777245203e-06,1.00000005066852e-33,2.15003159181531
4e-10,0.0105000004987232,0.0320000015199238,0.097000004610875,4.11491777245219e-06,1.00000005066852e-33,2.15003159179279
5e-10,0.0105000004987232,0.0320000015199256,0.0970000046072792,4.11491777424359e-06,1.00000005066852e-33,2.15003159179274
7e-10,0.0105000004987232,0.0320000015199274,0.097000004607253,4.11491777603515e-06,1.00000005066852e-33,2.15003159179297
1.1e-09,0.0105000004987232,0.032000001519931,0.0970000046072528,4.11491777961827e-06,1.00000005066852e-33,2.15003159179344
1.9e-09,0.0105000004987232,0.0320000015199381,0.0970000046072528,4.1149177867845e-06,1.00000005066852e-33,2.15003159179438
3.5e-09,0.0105000004987232,0.0320000015199525,0.097000004607253,4.11491780111693e-06,1.00000005066852e-33,2.15003159179625
6.7e-09,0.0105000004987232,0.0320000015199812,0.0970000046072533,4.11491782978169e-06,1.00000005066852e-33,2.15003159179999
1.31e-08,0.0105000004987232,0.0320000015200385,0.0970000046072539,4.11491788711076e-06,1.00000005066852e-33,2.15003159180747
2.59e-08,0.0105000004987232,0.0320000015201531,0.097000004607255,4.11491800176713e-06,1.00000005066852e-33,2.15003159182243
5.15e-08,0.0105000004987232,0.0320000015203824,0.0970000046072574,4.11491823107282e-06,1.00000005066852e-33,2.15003159185236
1.027e-07,0.0105000004987232,0.032000001520841,0.0970000046072621,4.11491868965599e-06,1.00000005066852e-33,2.1500315919122
2.051e-07,0.0105000004987232,0.0320000015217581,0.0970000046072714,4.11491960670945e-06,1.00000005066852e-33,2.15003159203186
4.099e-07,0.0105000004987232,0.0320000015272572,0.0970000046072527,4.11492510587077e-06,1.00000005066852e-33,2.15003159227106
8.195e-07,0.0105000004987231,0.032000001534581,0.0970000046072528,4.1149324296634e-06,1.00000005066852e-33,2.15003159274898
1.6387e-06,0.010500000498723,0.0320000015491998,0.0970000046072527,4.11494704840446e-06,1.00000005066852e-33,2.15003159370293
3.2771e-06,0.0105000004987229,0.032000001578322,0.0970000046072527,4.11497617073658e-06,1.00000005066852e-33,2.15003159560333
6.5539e-06,0.0105000004987225,0.0320000016361076,0.0970000046072528,4.11503395661178e-06,1.00000005066853e-33,2.15003159937415
1.31075e-05,0.0105000004987217,0.0320000017498574,0.0970000046072528,4.11514770763783e-06,1.00000005066853e-33,2.15003160679689
2.62147e-05,0.0105000004987201,0.0320000019701868,0.0970000046072527,4.11536804134819e-06,1.00000005066853e-33,2.15003162117424
